Rank,North America's Most Populated Cities,Geolocation,Air Quality Index,Carbon Monoxide (μg/m3),Hydrogen (μg/m3),Ozone (μg/m3),Sulphur Dioxide (μg/m3),Fine Particulate Matter (μg/m3),Coarse Particulate Matter (μg/m3)
1,Mexico City,"[19.42461, -99.119594]",93,12.3,23,7.3,2.9,93,52
3,Los Angeles,"[34.06653, -118.22676]",34,1.6,72,33.6,1.5,25,17
9,Ecatepec de Morelos,"[19.532968, -99.030324]",104,6.7,23,4.8,1.5,104,84
11,Phoenix,"[33.403055555556, -112.07527777778]",34,2.3,32.5,33.6,0.1,21,15
13,Guadalajara,"[20.680450840176, -103.39873310432]",27,7.9,34,18.1,1.2,0,27
14,Puebla,"[19.115858055556, -98.277487222222]",49,9.9,23,0.1,7.3,0,49
16,Juárez,"[25.6516471, -100.1059194]",55,16.7,48,26.4,3.9,55,48
17,León,"[42.603888888889, -5.587222222222]",43,0.1,42,8.6,10.2,0,43
18,Dallas,"[32.8200608, -96.8601165]",47,8.9,68.6,5.6,2.9,0,47
22,Zapopan,"[20.680450840176, -103.39873310432]",27,7.9,34,18.1,1.2,0,27
23,Monterrey,"[25.73, -100.30972222222]",76,20,49.6,20,4.6,76,71
30,Naucalpan,"[19.482473, -99.243524]",50,10,23,12.1,4.3,0,50
36,Toluca,"[19.294298341379, -99.655297086786]",97,10.4,60,15.2,2.9,102,64
38,Chihuahua,"[28.652227777778, -106.08535833333]",25,0.2,27,24.8,0.1,0,19
46,Aguascalientes,"[21.903003362672, -102.28461279505]",49,1.5,14,9,1.8,49,26
